id,date,year,gender,transfer,mental_health,social_distancing,drag_50,sexist_comment,support_eating,stop_svsh,receive_info,social_media_year,asian,black,latino,native hawaiian or pacific islander,white,other:,prefer not to answer,undergrad_student,1st_year,2nd_year,3rd_year,4th_year,5th_year_plus,bachelor_degree,no_college,some_college,read_daily,read_less_weekly,read_daily_more,read_weekly,write_daily,write_less_weekly,write_more_daily,write_weekly,outcome,treatment,recall
R_1Q0FdJBlLs0f6RK,2021-04-07 18:30:44,1999,1,0,70,10,50,25,40,35,11,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,56,0,1
R_1mt0rMBqsnKlNdy,2021-04-07 18:29:57,2002,1,0,96,50,50,40,71,73,0,underclassmen_control,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,18,0,1
R_2AFH4QXSyzxHfn0,2021-04-07 17:51:49,1999,1,0,86,63,50,71,72,90,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
R_2rVzBXEmEEYnyEN,2021-04-07 18:34:06,1999,1,0,96,30,50,80,80,91,0,upperclassmen_treatment,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
R_2zvGZSix6wk2Jgc,2021-04-07 18:31:24,1993,1,1,81,30,50,30,40,39,11,underclassmen_treatment,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,52,1,1
R_bK2ogSICVcDny5X,2021-04-07 17:40:33,2000,1,0,90,30,50,75,90,96,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5,1,0
R_2zMedHLSd1Eod12,2021-04-07 17:52:34,1999,1,0,100,40,50,80,100,100,11,upperclassmen_control,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,9,0,1
R_3gLXrJcoBLNUOTe,2021-04-07 19:04:51,2000,1,0,81,39,50,19,61,91,11,underclassmen_control,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
R_3kkeCMYSOWv977q,2021-04-07 18:55:28,1999,1,1,100,50,50,70,61,90,11,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
R_390pHQ1Wly1O4sp,2021-04-07 18:49:00,2000,1,0,90,30,50,30,61,92,0,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1
R_2DOy7Z3scOAD0pa,2021-04-07 18:58:55,2002,1,0,100,42,50,40,81,91,11,underclassmen_treatment,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
R_3MLoCu9ws3E6sYO,2021-04-07 18:51:53,1999,1,0,75,10,50,8,15,76,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,15,1,1
R_1QyJ0pilsFJ0swl,2021-04-07 19:04:00,2000,1,0,60,33,50,40,30,60,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,31,1,0
R_1kYAEG8tRIWKlIO,2021-04-07 19:12:52,19996,1,0,70,10,50,90,90,61,11,upperclassmen_control,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,30,0,1
R_2txlwQhJs79Jboc,2021-04-07 18:52:52,2001,0,0,100,5,50,20,10,5,0,underclassmen_control,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,86,0,1
R_zTKkJY3w5gECizv,2021-04-07 17:58:49,2000,1,0,49,50,50,50,50,50,11,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,41,1,0
R_1JENz5lBOsh5TnQ,2021-04-07 19:03:45,1999,1,0,80,15,50,50,90,85,0,upperclassmen_control,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,6,0,1
R_27Ip87mAk3jVnpQ,2021-04-07 19:24:43,Los Angeles,1,0,55,4,50,11,12,91,0,upperclassmen_treatment,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
R_1MYzxGeHPtduIEO,2021-04-07 19:15:13,1999,1,0,93,50,50,60,92,71,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,20,0,1
R_PXkwps9qv3WYb8R,2021-04-07 17:49:37,2000,1,0,72,26,50,40,40,45,11,upperclassmen_control,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,46,0,1
R_1gGu2iJ11qT8imV,2021-04-07 18:43:07,2002,0,0,92,39,50,75,90,91,11,underclassmen_treatment,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
R_1eRTIxB4ZGiSOWF,2021-04-07 19:40:07,2002,1,0,99,50,50,39,60,67,0,underclassmen_control,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,24,0,1
R_ANTNojFR2mSNuIV,2021-04-07 19:10:00,1999,0,0,70,50,50,85,100,91,11,upperclassmen_treatment,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
R_1rIWpGp4KYyybNx,2021-04-07 18:45:46,1997,1,0,100,50,50,80,70,50,11,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,41,0,1
R_3CUjVgYmsb9IaYm,2021-04-07 18:18:24,2001,1,0,25,5,50,31,1,30,11,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,61,1,1
R_OIEM9WDBZTV40xz,2021-04-07 18:08:19,2001,1,0,65,14,50,61,50,65,0,underclassmen_control,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,26,0,1
R_2ZW8HlX1lbSIH9X,2021-04-07 19:07:37,1998,1,0,80,50,50,40,75,70,11,upperclassmen_control,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,21,0,1
R_8CgofB9ocF2psAh,2021-04-07 17:47:34,1999,1,0,64,82,50,66,69,70,0,upperclassmen_control,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,21,0,1
R_12DLX8W6ZpfZFG1,2021-04-07 19:41:27,2000,1,0,80,30,50,25,70,60,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,31,1,1
R_323ZBHilkDS0pKm,2021-04-07 19:07:45,2000,1,0,98,61,50,62,34,31,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,60,1,1
R_3NUHkQjHQbyHQL0,2021-04-07 18:41:33,2001,0,0,90,69,50,85,69,95,0,underclassmen_treatment,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,0
R_41SczUnYWhQJfB7,2021-04-07 17:58:09,1999,1,0,90,20,50,35,50,60,0,upperclassmen_treatment,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,31,1,1
R_3EtDHhl1PreLA1S,2021-04-07 18:49:07,1999,1,1,100,40,50,50,71,91,11,upperclassmen_treatment,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
R_3iUTNoq5ZDTBMa0,2021-04-07 18:57:45,2001,0,0,71,60,50,60,71,81,0,underclassmen_control,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,10,0,1
R_3DjWr3qBMg0CzGq,2021-04-07 18:55:34,1999,0,0,87,23,50,94,80,95,0,upperclassmen_control,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,4,0,1
R_2y4rtVqX3SaMS9y,2021-04-07 19:52:48,2001,0,0,73,15,50,30,26,80,11,underclassmen_treatment,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,11,1,1
R_2SBKh3xBOQBoDkP,2021-04-07 19:50:07,2001,0,0,61,17,50,19,45,67,11,underclassmen_control,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,24,0,1
